file,_name,compute.avg_core_idle_pct,compute.avg_memory_idle_pct,compute.avg_pe_util_pct,compute.avg_systolic_util_pct,compute.effective_TFLOPS,compute.gemm_avg_arithmetic_intensity,compute.gemm_memory_bound_pct,compute.total_GFLOPs,dram.avg_bw_utilization_pct,dram.avg_memory_system_cycles,dram.avg_row_conflict_rate_pct,dram.avg_row_hit_rate_pct,dram.avg_row_miss_rate_pct,dram.num_channels,dram.total_reads,dram.total_writes,hardware.accumulator_size_KB,hardware.dram_bandwidth_GBs,hardware.num_cores,hardware.pipeline_parallelism,hardware.spad_size_KB,hardware.systolic_throughput_GFLOPS,hardware.tensor_parallelism,l2_cache,l2_cache.avg_evictions,l2_cache.avg_hits,l2_cache.avg_misses,l2_cache.avg_writebacks,l2_cache.cache_util_pct,l2_cache.cycles,l2_cache.hit_rate_variance,l2_cache.max_bank_hit_rate,l2_cache.min_bank_hit_rate,l2_cache.miss_q_depth,l2_cache.num_banks,l2_cache.num_sets,l2_cache.num_ways,l2_cache.overall_hit_rate,l2_cache.overall_miss_rate,l2_cache.pool_size,l2_cache.total_conflicts,l2_cache.total_evictions,l2_cache.total_hits,l2_cache.total_misses,l2_cache.total_writebacks,layer_breakdown.KV_concat.count,layer_breakdown.KV_concat.cycles,layer_breakdown.KV_concat.pct,layer_breakdown.QKV_projection.count,layer_breakdown.QKV_projection.cycles,layer_breakdown.QKV_projection.pct,layer_breakdown.attention.count,layer_breakdown.attention.cycles,layer_breakdown.attention.pct,layer_breakdown.attn_concat.count,layer_breakdown.attn_concat.cycles,layer_breakdown.attn_concat.pct,layer_breakdown.attn_layernorm.count,layer_breakdown.attn_layernorm.cycles,layer_breakdown.attn_layernorm.pct,layer_breakdown.attn_projection.count,layer_breakdown.attn_projection.cycles,layer_breakdown.attn_projection.pct,layer_breakdown.elementwise_add.count,layer_breakdown.elementwise_add.cycles,layer_breakdown.elementwise_add.pct,layer_breakdown.elementwise_mul.count,layer_breakdown.elementwise_mul.cycles,layer_breakdown.elementwise_mul.pct,layer_breakdown.ffn_activation.count,layer_breakdown.ffn_activation.cycles,layer_breakdown.ffn_activation.pct,layer_breakdown.ffn_fc1.count,layer_breakdown.ffn_fc1.cycles,layer_breakdown.ffn_fc1.pct,layer_breakdown.ffn_fc2.count,layer_breakdown.ffn_fc2.cycles,layer_breakdown.ffn_fc2.pct,layer_breakdown.ffn_layernorm.count,layer_breakdown.ffn_layernorm.cycles,layer_breakdown.ffn_layernorm.pct,layer_breakdown.gemm.count,layer_breakdown.gemm.cycles,layer_breakdown.gemm.pct,layer_breakdown.other.count,layer_breakdown.other.cycles,layer_breakdown.other.pct,model.has_l2,model.name,model.num_layers_total,model.num_sim_layers,model.scheduler,model.weight_size_GB,object_histogram.avg_object_size_B,object_histogram.largest_object_B,object_histogram.top_5_by_bytes.0.bytes_pct,object_histogram.top_5_by_bytes.0.count,object_histogram.top_5_by_bytes.0.size_bytes,object_histogram.top_5_by_bytes.0.total_MB,object_histogram.top_5_by_bytes.1.bytes_pct,object_histogram.top_5_by_bytes.1.count,object_histogram.top_5_by_bytes.1.size_bytes,object_histogram.top_5_by_bytes.1.total_MB,object_histogram.top_5_by_bytes.2.bytes_pct,object_histogram.top_5_by_bytes.2.count,object_histogram.top_5_by_bytes.2.size_bytes,object_histogram.top_5_by_bytes.2.total_MB,object_histogram.top_5_by_bytes.3.bytes_pct,object_histogram.top_5_by_bytes.3.count,object_histogram.top_5_by_bytes.3.size_bytes,object_histogram.top_5_by_bytes.3.total_MB,object_histogram.top_5_by_bytes.4.bytes_pct,object_histogram.top_5_by_bytes.4.count,object_histogram.top_5_by_bytes.4.size_bytes,object_histogram.top_5_by_bytes.4.total_MB,object_histogram.total_GB,sram_totals.acc_sram.hit_rate,sram_totals.acc_sram.hits,sram_totals.acc_sram.misses,sram_totals.input_sram.hit_rate,sram_totals.input_sram.hits,sram_totals.input_sram.misses,timing.cycles_per_wall_sec,timing.model_init_seconds,timing.tiles_per_second,timing.total_compute_cycles,timing.total_cycles,timing.total_tiles,timing.total_us,timing.wall_clock_seconds
,opt_125m_large_l2__seq_512_summary.json,0.5934,99.8437,0.29,0.3475,0.0,262.2597,0.0,8.086487,81,25381958.0,0.5965,99.4032,0.0003,16,12036216,8636160,4096,614.0,4,1,32768,131072.0,1,,0.0,117992.88,14214.12,0.0,42.6477,25381958,1.845e-05,0.8984,0.8876,16834,16,32768,16,0.892486,0.107514,20930,0,0,1887886,227426,0,1,1,0.0,1,3984000,18.91,1,1407999,6.68,1,1,0.0,1,16000,0.08,1,3383999,16.07,,,,,,,1,1624000,7.71,1,3880000,18.42,1,720000,3.42,1,6048000,28.71,,,,,,,true,opt-125m,1,1,Simple Language scheduler,0.09,390225.43,786432,70.2431,737280,786432,579820.6,16.9754,712704,196608,140123.3,9.3657,196608,393216,77309.4,1.7561,147456,98304,14495.5,0.878,221184,32768,7247.8,825.449,0.408413,222598,322433,0.13955,31683318,195355709,9552.0,0.605919,0.034553,3984000,21143172,61,21143,2213.453925
,opt_125m_large_l2__seq_1024_summary.json,1.595,99.8192,0.53,0.74,0.0,354.0195,0.0,17.846502,509103397676,36233787.0,0.8154,99.1843,0.0003,16,14973488,14593580,4096,614.0,4,1,32768,131072.0,1,,0.0,198925.56,19288.44,0.0,64.1663,36233787,9.3e-07,0.9128,0.9095,16834,16,32768,16,0.911608,0.088392,20930,0,0,3182809,308615,0,1,2,0.0,1,3936000,13.14,1,3543998,11.83,1,2,0.0,1,856000,2.86,1,3415998,11.4,,,,,,,1,24000,0.08,1,4176000,13.94,1,13416000,44.78,1,592000,1.98,,,,,,,true,opt-125m,1,1,Simple Language scheduler,0.09,351935.62,786432,69.2085,1081344,786432,850403.5,25.9532,1622016,196608,318901.3,2.0972,196608,131072,25769.8,1.5607,146880,130560,19176.7,1.1797,442368,32768,14495.5,1228.756,0.054699,56334,973556,0.272919,128764670,343040382,16859.0,0.691957,0.048028,3936000,30182745,84,30182,1790.264582
,mamba_130m__b_2_summary.json,42.8137,95.9356,0.06,8.78,0.0,0.9991,100.0,0.037752,13,768308.0,21.6641,77.1132,1.2227,16,103646,241,4096,614.0,4,,32768,131072.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16000,2.5,8,64000,10.0,,,,,,,,,,,,,10,312000,48.75,31,248000,38.75,false,,,,,,630172.18,786432,88.5591,1179648,786432,927712.9,5.5349,147456,393216,57982.1,5.5349,294912,196608,57982.1,0.3603,15360,245760,3774.9,0.0079,13440,6144,82.6,1047.564,0.001238,220,177549,0.006593,12774,1924862,,0.225266,,8000,640001,,640,
,mamba_130m_large_l2_b_2_summary.json,2.831,99.979,0.0,0.0475,0.0,0.9991,100.0,0.037752,124289324124,148417768.0,1.2069,98.7931,0.0001,16,119342100,3989,4096,614.0,4,,32768,131072.0,,,0.0,73274.25,30622.38,0.0,78.4989,148417768,1.816e-05,0.7137,0.6989,16834,16,32768,16,0.705261,0.294739,20930,0,0,1172388,489958,0,,,,,,,,,,,,,,,,,,,2,16000,0.01,8,64000,0.05,,,,,,,,,,,,,10,123304000,99.73,31,248000,0.2,true,,,,,,630172.18,786432,88.5591,1179648,786432,927712.9,5.5349,147456,393216,57982.1,5.5349,294912,196608,57982.1,0.3603,15360,245760,3774.9,0.0079,13440,6144,82.6,1047.564,0.001233,220,178185,0.454664,1564108465,1876036657,22011.0,0.267513,0.035954,8000,123632001,206,123632,5616.752334
,mamba_130m_large_l2_b_24_s_512_summary.json,22.3205,99.9469,0.04,0.05,0.0,195.7378,40.0,26.884263,31314949478,589071494.0,1.3417,98.6579,0.0004,16,242567915,229731664,4096,614.0,4,,32768,131072.0,,,1879436.88,907066.06,134833.06,883398.44,100.0,589071494,2.68e-06,0.8727,0.8664,16834,16,32768,16,0.870589,0.129411,20930,30070990,30070990,14513057,2157329,14134375,,,,,,,,,,,,,,,,,,,2,968000,0.2,8,106192000,21.64,,,,,,,,,,,,,10,207040000,42.19,31,176496000,35.97,true,,,,,,672975.81,3145728,66.1544,9437184,786432,7421703.5,22.0515,786432,3145728,2473901.2,4.4792,1277952,393216,502511.2,4.1346,2359296,196608,463856.5,2.7564,196608,1572864,309237.6,11218.767,0.000661,880,1329930,0.373749,3036874448,5088560535,15862.0,2.939786,0.105303,8000,490696555,3255,490696,30935.887987
,opt_125m_large_l2__seq_256_summary.json,0.1323,99.8713,0.1875,0.2225,0.0,173.0415,100.0,3.834053,81,18650661.0,0.328,99.6716,0.0004,16,11305224,3905536,4096,614.0,4,1,32768,131072.0,1,,0.0,67436.81,12546.19,0.0,31.9096,18650661,9.8e-07,0.8447,0.8413,16834,16,32768,16,0.843139,0.156861,20930,0,0,1078989,200739,0,1,2,0.0,1,3488000,22.45,1,687998,4.43,1,2,0.0,1,24000,0.15,1,3311998,21.32,,,,,,,1,184000,1.18,1,3848000,24.77,1,3968000,25.54,1,24000,0.15,,,,,,,true,opt-125m,1,1,Simple Language scheduler,0.09,371282.22,786432,73.2189,442368,786432,347892.4,24.9148,602112,196608,118380.0,1.1017,159744,32768,5234.5,0.7627,73728,49152,3623.9,0.002,1536,6144,9.4,475.14,0.0105,3648,343789,0.091494,20523830,203796036,11244.0,0.17958,0.044165,3488000,15536001,61,15536,1381.738771
,mamba_130m_b2_128_summary.json,18.4298,96.5571,1.9475,4.3975,0.0,92.9721,100.0,6.70809,11,3178872.0,16.9498,82.522,0.5282,16,338718,25784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,192000,9.56,8,1160000,57.77,,,,,,,,,,,,,10,408000,20.32,31,247999,12.35,false,,,,,,571139.61,786432,88.214,3735552,786432,2937757.6,6.0937,516096,393216,202937.2,5.2232,884736,196608,173946.2,0.2267,30720,245760,7549.7,0.127,516096,8192,4227.9,3330.264,0.001192,440,368578,0.075271,477271,5863421,44434.0,0.611142,17.290473,7999,2648001,1012,2648,59.594065
,mamba_130m_large_l2_b_24_s_256_summary.json,12.4211,99.9454,0.04,0.05,0.0,155.4482,100.0,13.416179,6,286280417.0,1.2732,98.7265,0.0003,16,130939979,103301784,4096,614.0,4,,32768,131072.0,,,546283.44,456435.62,64554.25,204237.5,100.0,286280417,3.88e-06,0.8792,0.873,16834,16,32768,16,0.876093,0.123907,20930,8740535,8740535,7302970,1032868,3267800,,,,,,,,,,,,,,,,,,,2,424000,0.18,8,29008000,12.17,,,,,,,,,,,,,10,141352000,59.29,31,67608000,28.36,true,,,,,,589429.79,1572864,77.0987,4816896,786432,3788161.2,12.5875,393216,1572864,618475.3,5.1137,638976,393216,251255.6,4.7203,1179648,196608,231928.2,0.1721,1032192,8192,8455.7,4913.391,0.001012,440,434183,0.396987,1619810814,2460450808,14986.0,1.68394,0.105622,8000,238471588,1643,238471,15913.203358
,resnet18_summary.json,38.478,99.9329,0.4025,3.1325,,,,0,55,8226745.0,0.5378,99.4614,0.0008,16,4306618,286832,4096,614.0,4,,32768,131072.0,,,0.0,14017.94,4364.19,0.0,10.3598,8226745,0.00075864,0.7891,0.7201,65536,16,32768,16,0.762585,0.237415,69632,0,0,224287,69827,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2009601,29.32,23,4843273,70.68,true,,,,,,281544.22,516096,48.6463,100352,401408,40282.1,30.1557,48384,516096,24970.8,12.1616,50176,200704,10070.5,4.5384,28672,131072,3758.1,1.9002,15680,100352,1573.5,82.806,0.000119,102,854799,0.422386,17786136,24322591,20677.0,0.454514,0.145235,384082,6852879,31,6852,331.420166
,mamba_130m_large_l2_b_24_s_128_summary.json,2.7869,99.9581,0.03,0.04,0.0,92.9721,100.0,6.70809,98993311324,186343338.0,1.2517,98.7481,0.0002,16,129855812,24583448,4096,614.0,4,,32768,131072.0,,,72658.31,216293.75,44241.5,19472.25,97.8089,186343338,3.34e-06,0.8335,0.8259,16834,16,32768,16,0.83019,0.16981,20930,1162533,1162533,3460700,707864,311556,,,,,,,,,,,,,,,,,,,2,256000,0.16,8,14456000,9.31,,,,,,,,,,,,,10,140168000,90.3,31,344000,0.22,true,,,,,,547598.52,786432,88.0556,2555904,786432,2010044.7,6.3502,368640,393216,144955.1,5.0801,589824,196608,115964.1,0.1852,516096,8192,4227.9,0.1654,15360,245760,3774.9,2282.699,0.001067,220,205871,0.471087,1827979362,2052367798,13863.0,0.509747,0.078673,8000,155224001,837,155224,11197.134581
