seq_len,model,timing_total_cycles,timing_wall_clock_seconds,memory_traffic_bytes,memory_bound_ratio,tokens_per_cycle,dram_avg_bw_utilization_pct,compute_avg_pe_util_pct,speedup_vs_opt
1,Mamba,640001.0,14.6701,103887.0,80.0001,0.0,13.0,0.06,2.2222
2,Mamba,1272001.0,30.949,207779.0,159.0001,0.0,13.0,0.06,2.1486
128,Mamba,80968001.0,4347.6989,13300608.0,10121.0001,0.0,13.0,0.06,2.0817
256,Mamba,161944001.0,5426.1702,26601216.0,20243.0001,0.0,94885502092.0,0.06,2.0813
512,Mamba,323896001.0,11167.0175,53202432.0,40487.0001,0.0,2.0,0.06,2.0812
1024,Mamba,647760001.0,24883.5431,106404864.0,80970.0001,0.0,2.0,0.06,2.081
2048,Mamba,1295528001.0,40039.8973,212809728.0,161941.0001,0.0,11860907526.0,0.06,2.0737
1,OPT,288001.0,4.747,27871.0,12.0,0.0,8.0,0.0375,
2,OPT,592001.0,13.7982,55763.0,24.6667,0.0,7.0,0.0325,
128,OPT,38896001.0,947.1799,3618351.0,1620.6667,0.0,7.0,0.035,
256,OPT,77808001.0,1911.3695,7335179.0,3242.0,0.0,7.0,0.035,
512,OPT,155632001.0,3922.7425,15063550.0,6484.6667,0.0,8.0,0.035,
1024,OPT,311280001.0,10222.7578,31699908.0,12970.0,0.0,49364359352.0,0.035,
2048,OPT,624728001.0,15003.7126,69691380.0,26030.3334,0.0,24596524888.0,0.035,
