seq_len,model,timing_total_cycles,timing_wall_clock_seconds,memory_traffic_bytes,memory_bound_ratio,tokens_per_cycle,dram_avg_bw_utilization_pct,compute_avg_pe_util_pct,speedup_vs_opt
1,Mamba,640001,14.67013,1047564199488,100.0,1.5625e-06,13,0.06,
1024,Mamba,647760001,24883.543122,1072705740275712,100.0,1.5808e-06,2,0.06,
128,Mamba,80968001,4347.698929,134088217534464,100.0,1.5809e-06,13,0.06,
2,Mamba,1272001,30.949028,2095128398976,100.0,1.5723e-06,13,0.06,
2048,Mamba,1295528001,40039.89729,2145411480551424,100.0,1.5808e-06,11860907526,0.06,
256,Mamba,161944001,5426.17022,268176435068928,100.0,1.5808e-06,94885502092,0.06,
512,Mamba,323896001,11167.017538,536352870137856,100.0,1.5808e-06,2,0.06,
1,OPT,288001,4.747036,173958684672,,3.4722e-06,8,0.0375,
1024,OPT,311280001,10222.757843,182551081611264,,3.2896e-06,49364359352,0.035,
128,OPT,38896001,947.179892,22275605360640,,3.2908e-06,7,0.035,
2,OPT,592001,13.798214,347917467648,,3.3784e-06,7,0.0325,
2048,OPT,624728001,15003.712591,391529097031680,,3.2782e-06,24596524888,0.035,
256,OPT,77808001,1911.369545,44603354345472,,3.2902e-06,7,0.035,
512,OPT,155632001,3922.742492,89621441507328,,3.2898e-06,8,0.035,
