log_file,model_name,crash_reason,run_status,hw_num_cores,hw_systolic_throughput_GFLOPS,hw_spad_size_KB,hw_accumulator_size_KB,hw_dram_bandwidth_GBs,hw_tensor_parallelism,hw_pipeline_parallelism,model_num_layers_total,model_num_sim_layers,model_weight_size_GB,model_has_l2,model_scheduler,mem_total_GB,mem_weight_GB,mem_kv_cache_GB,mem_activation_GB,timing_total_cycles,timing_total_us,timing_total_compute_cycles,timing_wall_clock_seconds,timing_model_init_seconds,timing_total_tiles,timing_tiles_per_second,timing_cycles_per_wall_sec,compute_total_GFLOPs,compute_effective_TFLOPS,compute_avg_systolic_util_pct,compute_avg_pe_util_pct,compute_avg_memory_idle_pct,compute_avg_core_idle_pct,compute_gemm_memory_bound_pct,compute_gemm_avg_arithmetic_intensity,core_avg_systolic_array_util_pct,core_avg_pe_util_pct,core_avg_vector_unit_util_pct,core_avg_memory_idle_pct,core_avg_core_idle_pct,core_avg_matmul_active_cycles,core_avg_total_cycles,core_avg_tiles_finished,core_avg_instructions_executed,core_avg_instructions_per_tile,core_avg_systolic_inst_issue,core_avg_systolic_preload,sram_total_hits,sram_total_misses,sram_hit_rate,sram_avg_bytes_req,sram_avg_bytes_rcv,acc_sram_total_hits,acc_sram_total_misses,acc_sram_hit_rate,icnt_core_to_icnt_GBs,icnt_icnt_to_core_GBs,icnt_icnt_to_mem_GBs,icnt_mem_to_icnt_GBs,dram_num_channels,dram_avg_bw_utilization_pct,dram_total_reads,dram_total_writes,dram_avg_row_hit_rate_pct,dram_avg_row_miss_rate_pct,dram_avg_row_conflict_rate_pct,dram_avg_memory_system_cycles,dram_avg_read_requests,dram_avg_write_requests,l2_num_banks,l2_num_ways,l2_num_sets,l2_overall_hit_rate,l2_overall_miss_rate,l2_cache_util_pct,l2_total_hits,l2_total_misses,l2_total_evictions,l2_total_writebacks,l2_min_bank_hit_rate,l2_max_bank_hit_rate,l2_hit_rate_variance,layer_gemm_cycles,layer_gemm_count,layer_gemm_pct,layer_attention_cycles,layer_attention_count,layer_attention_pct,layer_ffn_fc1_cycles,layer_ffn_fc2_cycles,layer_QKV_projection_cycles,layer_attn_projection_cycles,layer_mamba_in_proj_cycles,layer_mamba_x_proj_cycles,layer_mamba_dt_proj_cycles,layer_mamba_out_proj_cycles,layer_mamba_ssm_cycles,layer_elementwise_mul_cycles,layer_elementwise_add_cycles,layer_elementwise_exp_cycles,layer_other_cycles
logs_apr2/mamba-130m-b2-s1.log,,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,640001,640,8000,14.67013,0.217149,175,12.628956,43626.0,0.037752,0.0,8.78,0.06,95.9356,42.8137,100.0,0.9991,8.78,0.06,0.0,95.9356,42.8137,396.0,640001.0,43.75,559.5,12.79,408.0,408.0,12774,1924862,0.006593,13271864.0,13290296.0,220,177549,0.001238,0.0,0.0,0.0,0.0,16,13,103646,241,77.1132,1.2227,21.6641,768308.0,103657.06,239.56,,,,,,,,,,,,,,312000,10,48.75,0,0,0.0,0,0,0,0,0,0,0,0,0,64000,16000,0,248000
logs_apr2/mamba-130m-b2-s1024.log,,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,647760001,647760,8000,24883.543122,0.533883,179200,7.201999,26032.0,38.657855,0.0,8.88,0.06,95.8879,42.0708,100.0,0.9991,8.88,0.06,0.0,95.8879,42.0708,405504.0,647760001.0,44800.0,572928.0,12.79,417792.0,417792.0,11635938,2083898919,0.005553,13590388736.0,13609263104.0,225280,181739120,0.001238,0.0,0.0,0.0,0.0,16,2,106159552,245312,75.6235,1.2561,23.1204,777623050.0,106144832.0,245312.0,,,,,,,,,,,,,,311888000,10240,48.15,0,0,0.0,0,0,0,0,0,0,0,0,0,65536000,16384000,0,253950977
logs_apr2/mamba-130m-b2-s128.log,,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,80968001,80968,8000,4347.698929,0.31665,22400,5.153202,18623.0,4.832232,0.0,8.8825,0.06,95.8878,42.1095,100.0,0.9991,8.8825,0.06,0.0,95.8878,42.1095,50688.0,80968001.0,5600.0,71616.0,12.7875,52224.0,52224.0,1453589,259785035,0.005564,1698798592.0,1701157888.0,28160,22717433,0.001238,0.0,0.0,0.0,0.0,16,13,13269944,30664,75.6899,1.2508,23.0592,97200481.0,13268104.0,30664.0,,,,,,,,,,,,,,38984000,1280,48.15,0,0,0.0,0,0,0,0,0,0,0,0,0,8192000,2048000,0,31743873
logs_apr2/mamba-130m-b2-s2.log,,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,1272001,1272,8000,30.949028,0.21522,350,11.621544,41100.0,0.075504,0.0,8.835,0.06,95.9101,42.454,100.0,0.9991,8.835,0.06,0.0,95.9101,42.454,792.0,1272001.0,87.5,1119.0,12.7875,816.0,816.0,23842,4063507,0.005833,26543728.0,26580592.0,440,354915,0.001238,0.0,0.0,0.0,0.0,16,13,207298,481,75.7445,1.0951,23.1604,1527011.0,207314.12,479.12,,,,,,,,,,,,,,616000,20,48.43,0,0,0.0,0,0,0,0,0,0,0,0,0,128000,32000,0,495999
logs_apr2/mamba-130m-b2-s2048.log,,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,1295528001,1295528,8000,40039.89729,0.338079,358400,8.951271,32356.0,77.315711,0.0,8.88,0.06,95.888,42.0679,100.0,0.9991,8.88,0.06,0.0,95.888,42.0679,811008.0,1295528001.0,89600.0,1145856.0,12.79,835584.0,835584.0,23273940,4168597999,0.005552,27180777472.0,27218526208.0,450560,363478239,0.001238,0.0,0.0,0.0,0.0,16,11860907526,212319104,490624,75.6189,1.2564,23.1247,1555255703.0,212289664.0,490624.0,,,,,,,,,,,,,,623784000,20480,48.15,0,0,0.0,0,0,0,0,0,0,0,0,0,131072000,32768000,0,507901953
logs_apr2/mamba-130m-b2-s256.log,,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,161944001,161944,8000,5426.17022,0.368057,44800,8.257838,29845.0,9.664464,0.0,8.8825,0.06,95.888,42.0864,100.0,0.9991,8.8825,0.06,0.0,95.888,42.0864,101376.0,161944001.0,11200.0,143232.0,12.79,104448.0,104448.0,2908176,520369069,0.005558,3397597184.0,3402315776.0,56320,45434855,0.001238,0.0,0.0,0.0,0.0,16,94885502092,26539888,61328,75.6519,1.2539,23.0942,194410565.0,26536208.0,61328.0,,,,,,,,,,,,,,77976000,2560,48.15,0,0,0.0,0,0,0,0,0,0,0,0,0,16384000,4096000,0,63487745
logs_apr2/mamba-130m-b2-s512.log,,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,323896001,323896,8000,11167.017538,0.239095,89600,8.024447,29005.0,19.328928,0.0,8.88,0.06,95.8881,42.0749,100.0,0.9991,8.88,0.06,0.0,95.8881,42.0749,202752.0,323896001.0,22400.0,286464.0,12.79,208896.0,208896.0,5819029,1041565495,0.005556,6795194368.0,6804631552.0,112640,90869853,0.001238,0.0,0.0,0.0,0.0,16,2,53079776,122656,75.6333,1.2552,23.1115,388830733.0,53072416.0,122656.0,,,,,,,,,,,,,,155960000,5120,48.15,0,0,0.0,0,0,0,0,0,0,0,0,0,32768000,8192000,0,126975489
logs_apr2/opt-125m_1.log,opt-125m,,ok,4,131072.0,32768,4096,614.0,1,1,1,1,0.09,false,Simple Language scheduler,0.09,0.09,0.0,0.0,288001,288,24000,4.747036,0.053814,40,8.70496,60670.0,0,,5.6575,0.0375,97.5737,70.8336,,,5.6575,0.0375,0.01,97.5737,70.8336,108.0,288001.0,10.0,198.0,32.3525,114.0,114.0,69150,195669,0.261122,3560448.0,3565056.0,456,63137,0.007171,0.0,0.0,0.0,0.0,16,8,27822,49,89.0838,0.4605,10.4557,345739.0,27831.0,48.0,,,,,,,,,,,,,,0,0,0.0,95999,1,33.33,48000,48000,24000,47999,0,0,0,0,0,0,0,0,0
logs_apr2/opt-125m_1024.log,opt-125m,,ok,4,131072.0,32768,4096,614.0,1,1,1,1,0.09,false,Simple Language scheduler,0.09,0.09,0.0,0.0,311280001,311280,24000,10222.757843,0.142075,40960,4.006855,30450.0,0,,6.49,0.035,97.4502,74.9964,,,6.49,0.035,0.01,97.4502,74.9964,110592.0,311280001.0,10240.0,224304.0,33.225,138288.0,138288.0,47923544,144972044,0.248443,4048944384.0,4053662976.0,553152,96730248,0.005686,0.0,0.0,0.0,0.0,16,49364359352,31650756,49152,93.4822,0.0018,6.516,373685475.0,31647738.0,49152.0,,,,,,,,,,,,,,0,0,0.0,98302976,1024,31.58,49152000,49152000,40942977,49150976,0,0,0,0,0,0,0,0,0
logs_apr2/opt-125m_128.log,opt-125m,,ok,4,131072.0,32768,4096,614.0,1,1,1,1,0.09,false,Simple Language scheduler,0.09,0.09,0.0,0.0,38896001,38896,24000,947.179892,0.053764,5120,5.406594,41065.0,0,,5.235,0.035,97.6704,74.9694,,,5.235,0.035,0.01,97.6704,74.9694,13824.0,38896001.0,1280.0,25350.0,32.6975,14598.0,14598.0,3402226,14223435,0.193027,462077184.0,462667008.0,58392,8787898,0.006601,0.0,0.0,0.0,0.0,16,7,3612212,6139,93.4384,0.0054,6.5562,46693878.0,3611898.0,6144.0,,,,,,,,,,,,,,0,0,0.0,12287872,128,31.59,6144000,6144000,5103873,6143872,0,0,0,0,0,0,0,0,0
logs_apr2/opt-125m_2.log,opt-125m,,ok,4,131072.0,32768,4096,614.0,1,1,1,1,0.09,false,Simple Language scheduler,0.09,0.09,0.0,0.0,592001,592,24000,13.798214,0.086011,80,5.904298,42904.0,0,,5.4375,0.0325,97.6394,72.9732,,,5.4375,0.0325,0.01,97.6394,72.9732,216.0,592001.0,20.0,396.0,32.5325,228.0,228.0,95306,305078,0.238036,7122432.0,7131648.0,912,131918,0.006866,0.0,0.0,0.0,0.0,16,7,55668,95,91.3135,0.2309,8.4556,710685.0,55674.0,96.0,,,,,,,,,,,,,,0,0,0.0,191998,2,32.43,96000,96000,63999,95998,0,0,0,0,0,0,0,0,0
logs_apr2/opt-125m_2048.log,opt-125m,,ok,4,131072.0,32768,4096,614.0,1,1,1,1,0.09,false,Simple Language scheduler,0.09,0.09,0.0,0.0,624728001,624728,24000,15003.712591,0.080219,81920,5.46005,41638.0,0,,7.7925,0.035,97.2074,74.9983,,,7.7925,0.035,0.01,97.2074,74.9983,221184.0,624728001.0,20480.0,497760.0,33.825,325728.0,325728.0,145178547,364986568,0.284572,8903195904.0,8912633088.0,1302912,255859611,0.005066,0.0,0.0,0.0,0.0,16,24596524888,69593076,98304,93.5033,0.0014,6.4953,749973590.0,69586938.0,98304.0,,,,,,,,,,,,,,0,0,0.0,198757952,2048,31.82,98304000,98304000,81901953,98301952,0,0,0,0,0,0,0,0,0
logs_apr2/opt-125m_256.log,opt-125m,,ok,4,131072.0,32768,4096,614.0,1,1,1,1,0.09,false,Simple Language scheduler,0.09,0.09,0.0,0.0,77808001,77808,24000,1911.369545,0.085131,10240,5.358093,40708.0,0,,5.41,0.035,97.6393,74.9848,,,5.41,0.035,0.01,97.6393,74.9848,27648.0,77808001.0,2560.0,51468.0,32.775,29964.0,29964.0,7503961,29515386,0.202704,936738048.0,937917696.0,119856,18524096,0.006429,0.0,0.0,0.0,0.0,16,7,7322884,12295,93.4545,0.0036,6.5419,93406963.0,7322106.0,12288.0,,,,,,,,,,,,,,0,0,0.0,24575744,256,31.59,12288000,12288000,10223745,12287744,0,0,0,0,0,0,0,0,0
logs_apr2/opt-125m_512.log,opt-125m,,ok,4,131072.0,32768,4096,614.0,1,1,1,1,0.09,false,Simple Language scheduler,0.09,0.09,0.0,0.0,155632001,155632,24000,3922.742492,0.077696,20480,5.22112,39674.0,0,,5.77,0.035,97.5764,74.9925,,,5.77,0.035,0.01,97.5764,74.9925,55296.0,155632001.0,5120.0,106008.0,32.925,63000.0,63000.0,17989906,63505076,0.220749,1923808512.0,1926167808.0,252000,40824498,0.006135,0.0,0.0,0.0,0.0,16,8,15038966,24584,93.4674,0.0024,6.5301,186833134.0,15037434.0,24576.0,,,,,,,,,,,,,,0,0,0.0,49151488,512,31.58,24576000,24576000,20463489,24575488,0,0,0,0,0,0,0,0,0
