log_file,model_name,crash_reason,run_status,hw_num_cores,hw_systolic_throughput_GFLOPS,hw_spad_size_KB,hw_accumulator_size_KB,hw_dram_bandwidth_GBs,hw_tensor_parallelism,hw_pipeline_parallelism,model_num_layers_total,model_num_sim_layers,model_weight_size_GB,model_has_l2,model_scheduler,mem_total_GB,mem_weight_GB,mem_kv_cache_GB,mem_activation_GB,timing_total_cycles,timing_total_us,timing_total_compute_cycles,timing_wall_clock_seconds,timing_model_init_seconds,timing_total_tiles,timing_tiles_per_second,timing_cycles_per_wall_sec,compute_total_GFLOPs,compute_effective_TFLOPS,compute_avg_systolic_util_pct,compute_avg_pe_util_pct,compute_avg_memory_idle_pct,compute_avg_core_idle_pct,compute_gemm_memory_bound_pct,compute_gemm_avg_arithmetic_intensity,core_avg_systolic_array_util_pct,core_avg_pe_util_pct,core_avg_vector_unit_util_pct,core_avg_memory_idle_pct,core_avg_core_idle_pct,core_avg_matmul_active_cycles,core_avg_total_cycles,core_avg_tiles_finished,core_avg_instructions_executed,core_avg_instructions_per_tile,core_avg_systolic_inst_issue,core_avg_systolic_preload,sram_total_hits,sram_total_misses,sram_hit_rate,sram_avg_bytes_req,sram_avg_bytes_rcv,acc_sram_total_hits,acc_sram_total_misses,acc_sram_hit_rate,icnt_core_to_icnt_GBs,icnt_icnt_to_core_GBs,icnt_icnt_to_mem_GBs,icnt_mem_to_icnt_GBs,dram_num_channels,dram_avg_bw_utilization_pct,dram_total_reads,dram_total_writes,dram_avg_row_hit_rate_pct,dram_avg_row_miss_rate_pct,dram_avg_row_conflict_rate_pct,dram_avg_memory_system_cycles,dram_avg_read_requests,dram_avg_write_requests,l2_num_banks,l2_num_ways,l2_num_sets,l2_overall_hit_rate,l2_overall_miss_rate,l2_cache_util_pct,l2_total_hits,l2_total_misses,l2_total_evictions,l2_total_writebacks,l2_min_bank_hit_rate,l2_max_bank_hit_rate,l2_hit_rate_variance,hist_total_bytes,hist_total_count,hist_avg_object_size,hist_num_size_classes,hist_top1_size_bytes,hist_top1_total_bytes,hist_top1_bytes_pct,hist_top2_size_bytes,hist_top2_total_bytes,hist_top2_bytes_pct,layer_gemm_cycles,layer_gemm_count,layer_gemm_pct,layer_attention_cycles,layer_attention_count,layer_attention_pct,layer_ffn_fc1_cycles,layer_ffn_fc2_cycles,layer_QKV_projection_cycles,layer_attn_projection_cycles,layer_conv_cycles,layer_mamba_in_proj_cycles,layer_mamba_x_proj_cycles,layer_mamba_dt_proj_cycles,layer_mamba_out_proj_cycles,layer_mamba_ssm_cycles,layer_elementwise_mul_cycles,layer_elementwise_add_cycles,layer_elementwise_exp_cycles,layer_elementwise_div_cycles,layer_elementwise_sub_cycles,layer_elementwise_neg_cycles,layer_activation_sigmoid_cycles,layer_activation_silu_cycles,layer_slice_cycles,layer_concat_cycles,layer_expand_cycles,layer_repeat_cycles,layer_reshape_cycles,layer_other_cycles,mamba_num_steps
tiny_s10000.log,tiny,,ok,4,131072.0,32768,4096,614.0,1,1,1,1,0.01,false,Simple Language scheduler,0.01,0.01,0.01,0.0,985792002,985792,32000,26688,0.190887,230023,6.472033,34584.0,15,0.0,19.42875,0.0,96.8957,28.3299,0.0,0.0,19.42875,0.0,0.025,96.8957,28.3299,6331.5,222344001.0,10401.75,329068.75,24.84125,273442.0,273442.0,807789918,1822588105,0.3071,4233573520.0,4235368048.0,4580948,1126930628,0.004049,2118668.0,2118668.0,2118668.0,2118668.0,16,10.026602,108665583,116262,97.65095,0.00375,2.3453,266919568.0,33083159.75,21029.62,,,,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,1143095360751424,1740288950,656842.28,5008.5,59392,11025139367936,0.3916,131072,5369245990912,0.1907,0,0,0.0,345712999,10001,46.36,80008000,80008000,160006001,79990519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
tiny_s20000.log,tiny,,ok,4,131072.0,32768,4096,614.0,1,1,1,1,0.01,false,Simple Language scheduler,0.02,0.01,0.01,0.0,2562608002,2562608,32000,83587,0.438142,460023,4.077571,31278.0,160,0.0,27.295,0.0,95.75915,21.30195,0.0,0.0,27.295,0.0,0.03,95.75915,21.30195,12659.5,638152001.0,20797.75,1172016.75,42.76625,1060794.0,1060794.0,3298960555,6703167297,0.329826,16097660816.0,16101248880.0,15522572,4224187423,0.003661,8052592.0,8052592.0,8052592.0,8052592.0,16,13.867516,398579331,232511,98.00855,0.002,1.98945,766088836.0,125779703.75,42047.62,,,,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,9015951833694016,6380548950,1413037.01,10008.5,59392,22048294567936,0.0985,131072,10737955110912,0.048,0,0,0.0,1282513999,20001,61.59,160008000,160008000,319996001,159973043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
tiny_s30000.log,tiny,,ok,4,131072.0,32768,4096,614.0,1,1,1,1,0.01,false,Simple Language scheduler,0.02,0.01,0.01,0.0,4733464002,4733464,32000,169089,0.615599,690023,2.957313,26524.0,402,0.0,28.63,0.0,95.5669,20.0662,0.0,0.0,28.63,0.0,0.03,95.5669,20.0662,47659.5,2809008001.0,78297.75,5476084.75,49.56,5057362.0,5057362.0,8060736362,14347982926,0.359714,76398940816.0,76412448880.0,32813968,8998139843,0.003633,38213632.0,38213632.0,38213632.0,38213632.0,16,14.518383,869743011,348762,98.0373,0.00185,1.96085,3372158464.0,596929703.75,158297.62,,,,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,30346571567454016,13920808950,2179943.11,15008.5,59392,33071449767936,0.0591,131072,16106664230912,0.0288,0,0,0.0,2813354999,30001,70.1,240008000,240008000,479986001,239955552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
tiny_s1.log,tiny,,ok,4,131072.0,32768,4096,614.0,1,1,1,1,0.01,false,Simple Language scheduler,0.01,0.01,0.0,0.0,72001,72,16000,0.929528,0.004281,23,27.912715,77460.0,0,,2.68,0.0025,99.3621,41.672,,,2.68,0.0025,0.0175,99.3621,41.672,3.5,72001.0,5.75,40.75,7.1725,10.0,10.0,569,27597,0.020202,229776.0,230768.0,144,13889,0.010262,115.0,115.0,115.0,115.0,16,1.6,1799,11,93.3719,1.7804,4.8477,86435.0,1799.75,11.62,,,,,,,,,,,,,,2087821120,28982,72038.55,11,59392,1102315520,52.7974,131072,536870912,25.7144,0,0,0.0,7999,1,11.11,8000,8000,16000,7998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
tiny_s1024.log,tiny,,ok,4,131072.0,32768,4096,614.0,1,1,1,1,0.01,false,Simple Language scheduler,0.01,0.01,0.0,0.0,73728001,73728,16000,1348.896099,0.006829,23552,17.461954,54658.0,0,,4.56,0.0,99.042,41.6734,,,4.56,0.0,0.02,99.042,41.6734,3584.0,73728001.0,5888.0,48912.0,8.3075,17424.0,17424.0,8142257,44606486,0.154359,357048064.0,358063872.0,176192,23415734,0.007468,179588.0,179588.0,179588.0,179588.0,16,2.7949023861171365,2795584,11904,94.9616,0.0176,5.0208,88509004.0,2794174.0,11904.0,,,,,,,,,,,,,,3347672322048,44897248,74562.97,1029,59392,1129652944896,33.7444,131072,549755813888,16.422,0,0,0.0,8190464,1024,11.11,8192000,8192000,16382977,8190208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
tiny_s128.log,tiny,,ok,4,131072.0,32768,4096,614.0,1,1,1,1,0.01,false,Simple Language scheduler,0.01,0.01,0.0,0.0,9216001,9216,16000,215.810805,0.004731,2944,13.654864,42704.0,0,,2.6825,0.0,99.3239,41.6734,,,2.6825,0.0,0.02,99.3239,41.6734,448.0,9216001.0,736.0,5218.0,7.0925,1282.0,1282.0,78527,3751486,0.020503,31326976.0,31453952.0,18440,1780101,0.010253,15796.0,15796.0,15796.0,15796.0,16,1.8673026886383348,245540,1488,93.5489,0.0356,6.4155,11063626.0,245334.0,1488.0,,,,,,,,,,,,,,269682544640,3949152,68288.72,137,59392,141096386560,52.3194,131072,68719476736,25.4816,0,0,0.0,1023808,128,11.11,1024000,1024000,2047873,1023776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
tiny_s16.log,tiny,,ok,4,131072.0,32768,4096,614.0,1,1,1,1,0.01,false,Simple Language scheduler,0.01,0.01,0.0,0.0,1152001,1152,16000,14.385511,0.004638,368,25.769725,80081.0,0,,2.68,0.0025,99.3589,41.6734,,,2.68,0.0025,0.02,99.3589,41.6734,56.0,1152001.0,92.0,652.0,7.0875,160.0,160.0,10040,451196,0.021768,3707776.0,3723648.0,2304,222234,0.010261,1870.0,1870.0,1870.0,1870.0,16,1.7655172413793103,29088,187,93.361,0.127,6.512,1382954.0,29041.0,186.0,,,,,,,,,,,,,,33411179520,467632,71447.59,25,59392,17637048320,52.7879,131072,8589934592,25.7098,0,0,0.0,127976,16,11.11,128000,128000,255985,127972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
tiny_s16384.log,tiny,,ok,4,131072.0,32768,4096,614.0,1,1,1,1,0.01,false,Simple Language scheduler,0.01,0.01,0.0,0.0,1924456001,1924456,16000,63184.460594,0.007188,376832,5.964016,30458.0,96.124031,0.0,22.51,0.0,96.4501,25.5768,,,22.51,0.0,0.03,96.4501,25.5768,57344.0,1924456001.0,94208.0,2748672.0,29.18,2244864.0,2244864.0,2171501979,4600816860,0.320644,34905128704.0,34921381632.0,10830888,2892454135,0.003731,17469603.0,17469603.0,17469603.0,17469603.0,16,11.533105620517423,272794656,190464,97.8577,0.0027,2.1396,2310271309.0,272772094.0,190464.0,,,,,,,,,,,,,,4967346592534528,4367400928,1137369.04,16389,59392,18061219332096,0.3636,131072,8796093022208,0.1771,0,0,0.0,875855424,16384,45.51,131072000,131072000,262127617,131043365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
tiny_s2.log,tiny,,ok,4,131072.0,32768,4096,614.0,1,1,1,1,0.01,false,Simple Language scheduler,0.01,0.01,0.0,0.0,144001,144,16000,2.690512,0.006244,46,18.127194,53522.0,0,,2.68,0.005,99.3621,41.6726,,,2.68,0.005,0.015,99.3621,41.6726,7.0,144001.0,11.5,81.5,7.095,20.0,20.0,1138,55720,0.020015,460000.0,461984.0,288,27782,0.01026,232.0,232.0,232.0,232.0,16,1.6842105263157894,3609,25,93.3609,0.8962,5.7428,172870.0,3603.0,23.25,,,,,,,,,,,,,,4175669120,58020,71969.48,12,59392,2204631040,52.7971,131072,1073741824,25.7142,0,0,0.0,15998,2,11.11,16000,16000,31999,15997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
tiny_s2048.log,tiny,,ok,4,131072.0,32768,4096,614.0,1,1,1,1,0.01,false,Simple Language scheduler,0.01,0.01,0.0,0.0,154576001,154576,16000,3164.198567,0.006881,47104,14.887187,48852.0,0,,6.4,0.0,98.7788,39.8818,,,6.4,0.0,0.02,98.7788,39.8818,7168.0,154576001.0,11776.0,114208.0,9.7,51232.0,51232.0,33323973,121657916,0.215018,957366016.0,959397632.0,417920,67803042,0.006126,480812.0,480812.0,480812.0,480812.0,16,3.683290222452147,7491764,23808,95.8272,0.0128,4.1601,185565427.0,7488894.0,23808.0,,,,,,,,,,,,,,13930913320960,120203232,115894.67,2053,59392,2258424037376,16.2116,131072,1099511627776,7.8926,0,0,0.0,23500928,2048,15.2,16384000,16384000,32765953,16380426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
