seq_len,model,timing_total_cycles,timing_wall_clock_seconds,memory_traffic_bytes,memory_bound_ratio,tokens_per_cycle,dram_avg_bw_utilization_pct,compute_avg_pe_util_pct,speedup_vs_opt
1,Mamba,272001,9.186342,1900111360,,3.6765e-06,0.34285714285714286,0.0,
1024,Mamba,278528001,7713.856668,1945714032640,,3.6765e-06,0.35099052540913006,0.0,
128,Mamba,34816001,840.90225,243214254080,,3.6765e-06,0.3520900321543408,0.0,
13616,Mamba,3703552001,51300.61559,25871916277760,,3.6765e-06,0.35081510590978776,0.0,
16,Mamba,4352001,142.836727,30401781760,,3.6765e-06,0.3522935779816514,0.0,
16384,Mamba,4456448001,80199.898334,31131424522240,,3.6765e-06,0.3508170952072481,0.0,
1808,Mamba,491776001,12062.56072,3435401338880,,3.6765e-06,0.35084638275037805,0.0,
2,Mamba,544001,14.71437,3800222720,,3.6765e-06,0.34782608695652173,0.0,
2048,Mamba,557056001,15280.491051,3891428065280,,3.6765e-06,0.3509043927648579,0.0,
256,Mamba,69632001,2319.54208,486428508160,,3.6765e-06,0.3512861736334405,0.0,
32,Mamba,8704001,239.612874,60803563520,,3.6765e-06,0.3526170798898072,0.0,
3616,Mamba,983552001,23916.92439,6870802677760,,3.6765e-06,0.3508301217945591,0.0,
4,Mamba,1088001,40.986083,7600445440,,3.6765e-06,0.35036496350364965,0.0,
4096,Mamba,1114112001,31710.735645,7782856130560,,3.6765e-06,0.3508469710020098,0.0,
512,Mamba,139264001,3104.159559,972857016320,,3.6765e-06,0.3509043927648579,0.0,
64,Mamba,17408001,534.314261,121607127040,,3.6765e-06,0.35277905374368396,0.0,
8,Mamba,2176001,80.687792,15200890880,,3.6765e-06,0.3516483516483517,0.0,
8192,Mamba,2228224001,52784.902511,15565712261120,,3.6765e-06,0.3508290267011197,0.0,
1,OPT,72001,0.929528,2087821120,,1.38887e-05,1.6,0.0025,
1024,OPT,73728001,1348.896099,3347672322048,,1.38889e-05,2.7949023861171365,0.0,
128,OPT,9216001,215.810805,269682544640,,1.38889e-05,1.8673026886383348,0.0,
13616,OPT,2809008001,105904.794517,25379224974919488,,4.8473e-06,17.503659609356983,0.0,
16,OPT,1152001,14.385511,33411179520,,1.38889e-05,1.7655172413793103,0.0025,
16384,OPT,1924456001,63184.460594,4967346592534528,,8.5136e-06,11.533105620517423,0.0,
1808,OPT,222344001,6429.16217,509166499936064,,8.1315e-06,12.123718755619493,0.0,
2,OPT,144001,2.690512,4175669120,,1.38888e-05,1.6842105263157894,0.005,
2048,OPT,154576001,3164.198567,13930913320960,,1.32491e-05,3.683290222452147,0.0,
256,OPT,18432001,332.890606,553653391360,,1.38889e-05,1.9969631236442515,0.0,
32,OPT,2304001,50.540965,66852720640,,1.38889e-05,1.7716262975778547,0.0025,
3616,OPT,638152001,20402.808174,4048605241159488,,5.6664e-06,16.201927294144184,0.0,
4,OPT,288001,4.839119,8351453184,,1.38888e-05,1.7297297297297298,0.0025,
4096,OPT,332280001,6854.897559,85700641280000,,1.2327e-05,5.319503273007316,0.0,
512,OPT,36864001,631.974661,1220898508800,,1.38889e-05,2.2616052060737526,0.0,
64,OPT,4608001,73.287881,133937082368,,1.38889e-05,1.7989601386481802,0.0,
8,OPT,576001,8.94171,16703512320,,1.38889e-05,1.7534246575342465,0.0025,
8192,OPT,763448001,20258.6611,633928860815360,,1.07303e-05,7.929485702314864,0.0,
