log_file,model_name,crash_reason,run_status,hw_num_cores,hw_systolic_throughput_GFLOPS,hw_spad_size_KB,hw_accumulator_size_KB,hw_dram_bandwidth_GBs,hw_tensor_parallelism,hw_pipeline_parallelism,model_num_layers_total,model_num_sim_layers,model_weight_size_GB,model_has_l2,model_scheduler,mem_total_GB,mem_weight_GB,mem_kv_cache_GB,mem_activation_GB,timing_total_cycles,timing_total_us,timing_total_compute_cycles,timing_wall_clock_seconds,timing_model_init_seconds,timing_total_tiles,timing_tiles_per_second,timing_cycles_per_wall_sec,compute_total_GFLOPs,compute_effective_TFLOPS,compute_avg_systolic_util_pct,compute_avg_pe_util_pct,compute_avg_memory_idle_pct,compute_avg_core_idle_pct,compute_gemm_memory_bound_pct,compute_gemm_avg_arithmetic_intensity,core_avg_systolic_array_util_pct,core_avg_pe_util_pct,core_avg_vector_unit_util_pct,core_avg_memory_idle_pct,core_avg_core_idle_pct,core_avg_matmul_active_cycles,core_avg_total_cycles,core_avg_tiles_finished,core_avg_instructions_executed,core_avg_instructions_per_tile,core_avg_systolic_inst_issue,core_avg_systolic_preload,sram_total_hits,sram_total_misses,sram_hit_rate,sram_avg_bytes_req,sram_avg_bytes_rcv,acc_sram_total_hits,acc_sram_total_misses,acc_sram_hit_rate,icnt_core_to_icnt_GBs,icnt_icnt_to_core_GBs,icnt_icnt_to_mem_GBs,icnt_mem_to_icnt_GBs,dram_num_channels,dram_avg_bw_utilization_pct,dram_total_reads,dram_total_writes,dram_avg_row_hit_rate_pct,dram_avg_row_miss_rate_pct,dram_avg_row_conflict_rate_pct,dram_avg_memory_system_cycles,dram_avg_read_requests,dram_avg_write_requests,l2_num_banks,l2_num_ways,l2_num_sets,l2_overall_hit_rate,l2_overall_miss_rate,l2_cache_util_pct,l2_total_hits,l2_total_misses,l2_total_evictions,l2_total_writebacks,l2_min_bank_hit_rate,l2_max_bank_hit_rate,l2_hit_rate_variance,hist_total_bytes,hist_total_count,hist_avg_object_size,hist_num_size_classes,hist_top1_size_bytes,hist_top1_total_bytes,hist_top1_bytes_pct,hist_top2_size_bytes,hist_top2_total_bytes,hist_top2_bytes_pct,layer_gemm_cycles,layer_gemm_count,layer_gemm_pct,layer_attention_cycles,layer_attention_count,layer_attention_pct,layer_ffn_fc1_cycles,layer_ffn_fc2_cycles,layer_QKV_projection_cycles,layer_attn_projection_cycles,layer_conv_cycles,layer_mamba_in_proj_cycles,layer_mamba_x_proj_cycles,layer_mamba_dt_proj_cycles,layer_mamba_out_proj_cycles,layer_mamba_ssm_cycles,layer_elementwise_mul_cycles,layer_elementwise_add_cycles,layer_elementwise_exp_cycles,layer_elementwise_div_cycles,layer_elementwise_sub_cycles,layer_elementwise_neg_cycles,layer_activation_sigmoid_cycles,layer_activation_silu_cycles,layer_slice_cycles,layer_concat_cycles,layer_expand_cycles,layer_repeat_cycles,layer_reshape_cycles,layer_other_cycles,mamba_num_steps
mamba_tiny_s10000.log,,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,2720000002,2720000,16000,64847,0.005738,440000,6.595061,40769.0,0,0.0,0.46,0.0,99.8527,69.8555,0.0,0.0,0.46,0.0,0.0,99.8527,69.8555,9040.0,491776001.0,19888.0,78648.0,3.95125,11752.0,11752.0,6904362,143131587,0.046018,356392960.0,361715712.0,260000,83200000,0.003115,182217.0,182217.0,182217.0,182217.0,16,0.350838,14838773,936241,93.2416,0.0104,6.748,590367347.0,2677874.0,169274.0,,,,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,19001113600000,251960000,75413.21,10.0,131072,10737418240000,56.5094,65536,8053063680000,42.3821,479975002,60000,17.65,0,0,0.0,0,0,0,0,0,0,0,0,0,0,479984996,159984998,80000000,80000000,80000000,0,0,160000000,480000000,80000000,0,45006,0,640000000,2
mamba_tiny_s20000.log,,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,5440000002,5440000,16000,104117,0.009,880000,6.652401,41124.0,0,0.0,0.46,0.0,99.8527,69.8555,0.0,0.0,0.46,0.0,0.0,99.8527,69.8555,18080.0,983552001.0,39776.0,157296.0,3.95,23504.0,23504.0,13810266,286261033,0.046023,712785920.0,723431424.0,520000,166400000,0.003115,364434.0,364434.0,364434.0,364434.0,16,0.350824,29677507,1872493,93.2415,0.01,6.7484,1180734694.0,5355748.0,338548.0,,,,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,38002227200000,503920000,75413.21,10.0,131072,21474836480000,56.5094,65536,16106127360000,42.3821,959950002,120000,17.65,0,0,0.0,0,0,0,0,0,0,0,0,0,0,959969996,319969998,160000000,160000000,160000000,0,0,320000000,960000000,160000000,0,90006,0,1280000000,2
mamba_tiny_s30000.log,,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,8160000002,8160000,16000,131501,0.003565,1320000,11.678322,72193.0,0,0.0,0.46,0.0,99.8527,69.8555,0.0,0.0,0.46,0.0,0.0,99.8527,69.8555,68080.0,3703552001.0,149776.0,592296.0,3.95,88504.0,88504.0,20715212,429392803,0.046023,2683985920.0,2724071424.0,780000,249600000,0.003115,1372274.0,1372274.0,1372274.0,1372274.0,16,0.350816,44516232,2808741,93.2415,0.0098,6.7486,4446040817.0,20166998.0,1274798.0,,,,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,57003340800000,755880000,75413.21,10.0,131072,32212254720000,56.5094,65536,24159191040000,42.3821,1439925002,180000,17.65,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1439954996,479954998,240000000,240000000,240000000,0,0,480000000,1440000000,240000000,0,135006,0,1920000000,2
tiny_s10000.log,tiny,,ok,4,131072.0,32768,4096,614.0,1,1,1,1,0.01,false,Simple Language scheduler,0.01,0.01,0.01,0.0,985792002,985792,32000,26688,0.190887,230023,6.472033,34584.0,15,0.0,19.42875,0.0,96.8957,28.3299,0.0,0.0,19.42875,0.0,0.025,96.8957,28.3299,6331.5,222344001.0,10401.75,329068.75,24.84125,273442.0,273442.0,807789918,1822588105,0.3071,4233573520.0,4235368048.0,4580948,1126930628,0.004049,2118668.0,2118668.0,2118668.0,2118668.0,16,10.026602,108665583,116262,97.65095,0.00375,2.3453,266919568.0,33083159.75,21029.62,,,,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,1143095360751424,1740288950,656842.28,5008.5,59392,11025139367936,0.3916,131072,5369245990912,0.1907,0,0,0.0,345712999,10001,46.36,80008000,80008000,160006001,79990519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
tiny_s20000.log,tiny,,ok,4,131072.0,32768,4096,614.0,1,1,1,1,0.01,false,Simple Language scheduler,0.02,0.01,0.01,0.0,2562608002,2562608,32000,83587,0.438142,460023,4.077571,31278.0,160,0.0,27.295,0.0,95.75915,21.30195,0.0,0.0,27.295,0.0,0.03,95.75915,21.30195,12659.5,638152001.0,20797.75,1172016.75,42.76625,1060794.0,1060794.0,3298960555,6703167297,0.329826,16097660816.0,16101248880.0,15522572,4224187423,0.003661,8052592.0,8052592.0,8052592.0,8052592.0,16,13.867516,398579331,232511,98.00855,0.002,1.98945,766088836.0,125779703.75,42047.62,,,,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,9015951833694016,6380548950,1413037.01,10008.5,59392,22048294567936,0.0985,131072,10737955110912,0.048,0,0,0.0,1282513999,20001,61.59,160008000,160008000,319996001,159973043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
tiny_s30000.log,tiny,,ok,4,131072.0,32768,4096,614.0,1,1,1,1,0.01,false,Simple Language scheduler,0.02,0.01,0.01,0.0,4733464002,4733464,32000,169089,0.615599,690023,2.957313,26524.0,402,0.0,28.63,0.0,95.5669,20.0662,0.0,0.0,28.63,0.0,0.03,95.5669,20.0662,47659.5,2809008001.0,78297.75,5476084.75,49.56,5057362.0,5057362.0,8060736362,14347982926,0.359714,76398940816.0,76412448880.0,32813968,8998139843,0.003633,38213632.0,38213632.0,38213632.0,38213632.0,16,14.518383,869743011,348762,98.0373,0.00185,1.96085,3372158464.0,596929703.75,158297.62,,,,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,30346571567454016,13920808950,2179943.11,15008.5,59392,33071449767936,0.0591,131072,16106664230912,0.0288,0,0,0.0,2813354999,30001,70.1,240008000,240008000,479986001,239955552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mamba_tiny_s1.log,,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,272001,272,8000,9.186342,0.005994,44,4.938028,29609.0,0,,0.4625,0.0,99.8526,69.8547,,,0.4625,0.0,0.0,99.8526,69.8547,5.0,272001.0,11.0,43.5,3.955,6.5,6.5,706,14247,0.047215,197120.0,200064.0,26,8320,0.003115,100.0,100.0,100.0,100.0,16,0.34285714285714286,1481,91,93.0745,2.0321,4.8935,326531.0,1481.12,93.62,,,,,,,,,,,,,,1900111360,25196,75413.21,10,131072,1073741824,56.5094,65536,805306368,42.3821,47999,6,17.65,0,0,0.0,0,0,0,0,0,0,0,0,0,0,47998,15998,8000,8000,8000,0,0,16000,48000,8000,0,5,0,64000,
mamba_tiny_s1024.log,,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,278528001,278528,8000,7713.856668,0.007971,45056,5.841043,36107.0,0,,0.46,0.0,99.8526,69.8555,,,0.46,0.0,0.0,99.8526,69.8555,5120.0,278528001.0,11264.0,44544.0,3.9525,6656.0,6656.0,706849,14656504,0.046009,201850880.0,204865536.0,26624,8519680,0.003115,103202.0,103202.0,103202.0,103202.0,16,0.35099052540913006,1519488,95872,93.2416,0.0118,6.7466,334367347.0,1516672.0,95872.0,,,,,,,,,,,,,,1945714032640,25800704,75413.21,10,131072,1099511627776,56.5094,65536,824633720832,42.3821,49149441,6144,17.65,0,0,0.0,0,0,0,0,0,0,0,0,0,0,49150462,16382463,8192000,8192000,8192000,0,0,16384000,49152000,8192000,0,4611,0,65536000,
mamba_tiny_s128.log,,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,34816001,34816,8000,840.90225,0.008855,5632,6.698935,41403.0,0,,0.4625,0.0,99.8527,69.8555,,,0.4625,0.0,0.0,99.8527,69.8555,640.0,34816001.0,1408.0,5568.0,3.9575,832.0,832.0,88295,1832383,0.045971,25231360.0,25608192.0,3328,1064960,0.003115,12900.0,12900.0,12900.0,12900.0,16,0.3520900321543408,189929,11965,93.241,0.0253,6.7337,41795919.0,189584.0,11984.0,,,,,,,,,,,,,,243214254080,3225088,75413.21,10,131072,137438953472,56.5094,65536,103079215104,42.3821,6143681,768,17.65,0,0,0.0,0,0,0,0,0,0,0,0,0,0,6143806,2047807,1024000,1024000,1024000,0,0,2048000,6144000,1024000,0,579,0,8192000,
mamba_tiny_s16.log,,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,4352001,4352,8000,142.836727,0.006266,704,4.938653,30468.0,0,,0.4625,0.0,99.8527,69.8555,,,0.4625,0.0,0.0,99.8527,69.8555,80.0,4352001.0,176.0,696.0,3.955,104.0,104.0,10121,229541,0.04223,3153920.0,3201024.0,416,133120,0.003115,1612.0,1612.0,1612.0,1612.0,16,0.3522935779816514,23732,1494,93.2393,0.1394,6.6213,5224490.0,23698.0,1498.0,,,,,,,,,,,,,,30401781760,403136,75413.21,10,131072,17179869184,56.5094,65536,12884901888,42.3821,767961,96,17.65,0,0,0.0,0,0,0,0,0,0,0,0,0,0,767974,255975,128000,128000,128000,0,0,256000,768000,128000,0,75,0,1024000,
